timestamp,roll,pitch,yaw,timestamp_mag,mag_x,mag_y,mag_z
1.74E+15,None,None,None,None,None,None,None
1.74E+15,None,None,None,None,None,None,None
1.74E+15,None,None,None,None,None,None,None
1.74E+15,None,None,None,None,None,None,None
1.74E+15,None,None,None,None,None,None,None
1.74E+15,None,None,None,None,None,None,None
1.74E+15,None,None,None,None,None,None,None
1.74E+15,None,None,None,None,None,None,None
1.74E+15,None,None,None,None,None,None,None
1.74E+15,None,None,None,None,None,None,None
1.74E+15,None,None,None,None,None,None,None
1.74E+15,None,None,None,None,None,None,None
1.74E+15,None,None,None,None,None,None,None
1.74E+15,None,None,None,None,None,None,None
1.74E+15,None,None,None,None,None,None,None
1.74E+15,None,None,None,None,None,None,None
1.74E+15,None,None,None,None,None,None,None
1.74E+15,None,None,None,None,None,None,None
1.74E+15,None,None,None,None,None,None,None
1.74E+15,None,None,None,None,None,None,None
1.74E+15,None,None,None,None,None,None,None
1.74E+15,None,None,None,None,None,None,None
1.74E+15,None,None,None,None,None,None,None
1.74E+15,None,None,None,None,None,None,None
1.74E+15,None,None,None,None,None,None,None
1.74E+15,None,None,None,None,None,None,None
1.74E+15,None,None,None,None,None,None,None
1.74E+15,None,None,None,None,None,None,None
1.74E+15,None,None,None,None,None,None,None
1.74E+15,None,None,None,None,None,None,None
1.74E+15,None,None,None,None,None,None,None
1.74E+15,None,None,None,None,None,None,None
1.74E+15,None,None,None,None,None,None,None
1.74E+15,None,None,None,None,None,None,None
1.74E+15,None,None,None,None,None,None,None
1.74E+15,None,None,None,None,None,None,None
1.74E+15,None,None,None,None,None,None,None
1.74E+15,None,None,None,None,None,None,None
1.74E+15,None,None,None,None,None,None,None
1.74E+15,None,None,None,None,None,None,None
1.74E+15,None,None,None,None,None,None,None
1.74E+15,None,None,None,None,None,None,None
1.74E+15,None,None,None,None,None,None,None
1.74E+15,None,None,None,None,None,None,None
1.74E+15,None,None,None,None,None,None,None
1.74E+15,None,None,None,None,None,None,None
1.74E+15,None,None,None,None,None,None,None
1.74E+15,None,None,None,None,None,None,None
1.74E+15,None,None,None,None,None,None,None
1.74E+15,None,None,None,None,None,None,None
1.74E+15,None,None,None,None,None,None,None
1.74E+15,None,None,None,None,None,None,None
1.74E+15,None,None,None,None,None,None,None
1.74E+15,None,None,None,None,None,None,None
1.74E+15,-0.504,2.268,-35.404,None,None,None,None
1.74E+15,-0.502,2.269,-35.408,None,None,None,None
1.74E+15,-0.502,2.269,-35.408,None,None,None,None
1.74E+15,-0.498,2.276,-35.411,None,None,None,None
1.74E+15,-0.497,2.276,-35.413,None,None,None,None
1.74E+15,-0.497,2.276,-35.413,None,None,None,None
1.74E+15,-0.519,2.249,-35.416,None,None,None,None
1.74E+15,-0.519,2.249,-35.416,None,None,None,None
1.74E+15,-0.521,2.251,-35.425,None,None,None,None
1.74E+15,-0.519,2.259,-35.435,None,None,None,None
1.74E+15,-0.519,2.259,-35.435,None,None,None,None
1.74E+15,-0.509,2.281,-35.432,None,None,None,None
1.74E+15,-0.516,2.261,-35.439,None,None,None,None
1.74E+15,-0.534,2.229,-35.443,None,None,None,None
1.74E+15,-0.534,2.229,-35.443,None,None,None,None
1.74E+15,-0.52,2.255,-35.445,None,None,None,None
1.74E+15,-0.52,2.261,-35.447,None,None,None,None
1.74E+15,-0.52,2.261,-35.447,None,None,None,None
1.74E+15,-0.516,2.265,-35.453,None,None,None,None
1.74E+15,-0.521,2.254,-35.453,None,None,None,None
1.74E+15,-0.517,2.258,-35.461,None,None,None,None
1.74E+15,-0.517,2.258,-35.461,None,None,None,None
1.74E+15,-0.518,2.261,-35.461,None,None,None,None
1.74E+15,-0.517,2.262,-35.469,None,None,None,None
1.74E+15,-0.517,2.262,-35.469,None,None,None,None
1.74E+15,-0.521,2.256,-35.471,None,None,None,None
